platform_type,url,display_name
facebook_group,https://www.facebook.com/groups/otofun.global,Otofun Global
facebook_group,https://www.facebook.com/groups/viettechies,VietTechies
facebook_group,https://www.facebook.com/groups/televisionz,TelevisionZ 📺
facebook_group,https://www.facebook.com/groups/324412235472282,LIÊM CHÍNH KHOA HỌC
facebook_group,https://www.facebook.com/groups/nckhsinhvien,Nhóm sinh viên cùng nhau Nghiên cứu khoa học (NCKH)
facebook_group,https://www.facebook.com/groups/4269133233117022,[Voz] From f17 with Love
facebook_group,https://www.facebook.com/groups/239018759492310,TÂM SỰ EVA ❤
facebook_group,https://www.facebook.com/groups/tamsuevagroup/,Tâm Sự EVA
facebook_group,https://www.facebook.com/groups/1928483250746491/,Hỏi Đáp Công Nghệ (Hỏi đi đáp luôn)
facebook_group,https://www.facebook.com/groups/CongDongDigitalMarketingVNN/,Cộng đồng Tiếp thị liên kết Shopee - Affiliate Marketing
facebook_group,https://www.facebook.com/groups/digitalmarketingagency/,DMA - Digital Marketing Agency
facebook_group,https://www.facebook.com/groups/niceads/,"Tự chạy quảng cáo Facebook ads, quảng cáo Google ads, Digital Marketing"
facebook_group,https://www.facebook.com/groups/cunglamcontentmarketing/,Phòng thử nghiệm DTC - Ecommerce
facebook_group,https://www.facebook.com/groups/congdongzalomarketingvn/,"Việc làm Part Time - Full Time ngành Marketing, Digital Marketing Việt Nam"
facebook_group,https://www.facebook.com/groups/khoahocOnlineVIP/,Nhóm Chia Sẻ Kiến Thức Và Tài Nguyên Marketing
facebook_group,https://www.facebook.com/groups/tamsu.content,Tâm Sự Con Sen
facebook_group,https://www.facebook.com/groups/1487080777997781,Phòng Thú Tội - BEATVN
facebook_group,https://www.facebook.com/groups/trangtvclub/,Group Này Khỏe Lắm!
facebook_group,https://www.facebook.com/groups/234807281330270/,Hóng Hớt Showbiz - 8 Chuyện Thiên Hạ
facebook_group,https://www.facebook.com/groups/357974248558059,HA GOI CUOC MOBIFONE
facebook_group,https://www.facebook.com/groups/photoshopforme/,Tập đoàn Chỉnh sửa ảnh FREE
facebook_group,https://www.facebook.com/groups/giaothongantoan,Hóng Biến Đường Phố
facebook_page,https://www.facebook.com/beatvn.network,Beatvn
facebook_page,https://www.facebook.com/anhdaden.vietnam,anhdaden.vietnam
facebook_page,https://www.facebook.com/Theanh28,Theanh28 Entertainment | Hanoi
facebook_page,https://www.facebook.com/SchannelChannel,SchannelChannel
facebook_page,https://www.facebook.com/khongsocho.official/,khongsocho.official
facebook_page,https://www.facebook.com/tinhte,Tinhte.vn | Ho Chi Minh City
facebook_page,https://www.facebook.com/Otofun.Community,Otofun | Hanoi
facebook_page,https://www.facebook.com/techrum,Techrum.vn | Ho Chi Minh City
facebook_page,https://www.facebook.com/baotuoitre,Tuổi Trẻ | Ho Chi Minh City
facebook_page,https://www.facebook.com/chame.lam,Làm Cha Mẹ
facebook_page,https://www.facebook.com/vietteltelecom,Viettel Telecom | Hanoi
facebook_page,https://www.facebook.com/pagechuithue,Chửi Thuê | Hanoi
facebook_page,https://www.facebook.com/gigagoesim,GIGAGO eSIM | Hanoi
facebook_page,https://www.facebook.com/cskhmobifone,MobiFone Hà Nội | Hanoi
forum,https://forum.example.com/board,
facebook_group,https://facebook.com/groups/test123,seed
forum,https://forum.example.com/pipeline-test,
